ID,STATE,SOURCE,DESTINATION,BUS_NAME,BUS_TYPE,DEPARTING_TIME,ARRIVING_TIME,DURATION,STAR_RATING,PRICE,SEATS_AVAILABLE,BUS_CATEGORY,AC_TYPE,STAR_RANGE
1,Kerala,Bangalore,Kozhikode,"KSRTC (Kerala) - 581","Super Deluxe Non AC Seater Air Bus (2+2)",10:03,18:48,"08h 45m",4.1,469,27,Government,"NON AC","4 above"
2,Kerala,Bangalore,Kozhikode,"KSRTC (Kerala) - 52","SWIFT-GARUDA A/C SEATER BUS",12:01,19:55,"08h 45m",3.3,627,37,Government,AC,3-4
3,Kerala,Bangalore,Kozhikode,"KSRTC (Kerala) - 1378","AC MULTI AXLE",13:46,20:50,"08h 45m",2.6,729,46,Government,AC,2-3
4,Kerala,Bangalore,Kozhikode,"KSRTC (Kerala) - 129","SWIFT-GARUDA A/C SEATER BUS",14:15,22:50,"08h 45m",4.1,627,41,Government,AC,"4 above"
5,Kerala,Bangalore,Kozhikode,"KSRTC (Kerala) - 235","Swift Deluxe Non AC Air Bus (2+2)",15:00,00:01,"08h 45m",4.6,620,38,Government,"NON AC","4 above"
6,Kerala,Bangalore,Kozhikode,"KSRTC (Kerala) - 370","AC MULTI AXLE",15:25,22:20,"08h 45m",2.3,729,45,Government,AC,2-3
7,Kerala,Bangalore,Kozhikode,"KSRTC (Kerala) - 97","Swift Deluxe Non AC Air Bus (2+2)",16:02,00:50,"08h 45m",2.8,567,40,Government,"NON AC",2-3
8,Kerala,Bangalore,Kozhikode,"KSRTC (Kerala) - 171","Swift Deluxe Non AC Air Bus (2+2)",16:16,01:20,"08h 45m",4.7,640,39,Government,"NON AC","4 above"
9,Kerala,Bangalore,Kozhikode,"KSRTC (Kerala) - 553","Super Deluxe Non AC Seater Air Bus (2+2)",16:45,01:25,"08h 45m",1.9,640,38,Government,"NON AC",1-2
10,Kerala,Bangalore,Kozhikode,"KSRTC (Kerala) - 51","Swift Deluxe Non AC Air Bus (2+2)",19:04,04:24,"08h 45m",4.1,640,35,Government,"NON AC","4 above"
11,Kerala,Bangalore,Kozhikode,"KSRTC (Kerala) - 789","Super Fast Non AC Seater (2+3)",20:00,04:25,"08h 45m",3.6,473,48,Government,"NON AC",3-4
